Team,Year,NCAA Tournament success,Seed,Unbeaten run,Gender
Vermont,2025,Second round,No. 1,19 games,Men's
SIUE,2023,First round,Unseeded,19 games,Men's
Kentucky,2022,Third round,No. 1,20 games,Men's
Saint Louis,2021,Quarterfinals,No. 10,20 games,Men's
New Hampshire,2020,Second round,Unseeded,9 games,Men's
Fordham,2020,Second round,Unseeded,9 games,Men's
Loyola Marymount,2020,Second round,Unseeded,8 games,Men's
Missouri State,2019,Second round,Unseeded,19 games,Men's
Saint Mary's,2018,Third round,No. 8,19 games,Men's
Indiana,2017,National championship,No. 2,24 games,Men's
Maryland,2016,Second round,No. 1 ,20 games,Men's
Denver,2016,Semifinals,No. 6,23 games,Men's
Denver,2015,Second round,No. 13,18 games,Men's
New Mexico,2011,Third round,No. 10,19 games,Men's
Louisville,2010,National championship,No. 1,19 games,Men's
Butler,2010,Second round,No. 13,19 games,Men's
Akron,2009,National championship,No. 1,23 games,Men's
SMU,2001,Quarterfinals,No. 1,21 games,Men's
San Jose St,2000,First round,No. 8,21 games,Men's
Duke,1999,Second round,No. 1,19 games,Men's
Southwest Missouri St,1999,First round,No. 8,20 games,Men's
UMBC,1999,First round,Unseeded,21 games,Men's
Indiana,1997,Semifinals,No. 1,23 games,Men's
Virginia,1995,Semifinals,No. 1,23 games,Men's
Memphis,2025,Second round,No. 7,20 games,Women's
Florida State,2023,National champion,No. 1,23 games,Women's
Stanford,2023,National championship,No. 2,24 games,Women's
UCLA,2021,First round,No. 2,19 games,Women's
Florida State,2020,National championship,No. 1,15 games,Women's
South Florida,2020,Second round,Unseeded,12 games,Women's
Georgetown,2020,Third round,No. 13,13 games,Women's
Siena,2020,First round,Unseeded,8 games,Women's
Central Connecticut St,2020,First round,Unseeded,7 games,Women's
Furman,2020,First round,Unseeded,10 games,Women's
BYU,2019,Quarterfinals,No. 2,22 games,Women's
Stanford,2018,Semifinals,No. 1,23 games,Women's
Georgetown,2018,Semifinals,No. 1,24 games,Women's
UCLA,2014,Quarterfinals,No. 1,23 games,Women's
DePaul,2014,First round,Unseeded,20 games,Women's
Memphis,2011,Second round,No. 4,23 games,Women's
Stanford,2011,National champion,No. 1,26 games,Women's
Stanford,2010,National championship,No. 1,25 games,Women's
Stanford,2009,National championship,No. 1,25 games,Women's
Dayton,2009,Second round,Unseeded,22 games,Women's
Notre Dame,2008,National championship,No. 1,26 games,Women's
UCLA,2008,Semifinals,No. 1,24 games,Women's
Notre Dame,2006,National championship,No. 1,26 games,Women's
Penn State,2005,Semifinals,No. 1,24 games,Women's
Portland,2005,National champion,No. 1,25 games,Women's
North Carolina,2004,Third round,No. 1,22 games,Women's
North Carolina,2003,National champion,No. 1,27 games,Women's
North Carolina,2001,National championship,No. 1,24 games,Women's
Notre Dame,2000,Semifinals,No. 1,24 games,Women's
North Carolina,1998,National championship,No. 1,25 games,Women's
Santa Clara,1998,Semifinals,No. 3,23 games,Women's
North Carolina,1997,National champion,No. 1,28 games,Women's
Notre Dame,1997,Semifinals,No. 2,24 games,Women's
Nebraska,1996,Quarterfinals,No. 6,23 games,Women's
Portland,1996,Semifinals,No. 3,21 games,Women's
North Carolina,1995,Semifinals,No. 1,25 games,Women's
Portland,1995,National championship,No. 2,22 games,Women's
SMU,1995,Semifinals,No. 3,24 games,Women's